year,genre,rating,users_rating,votes,languages,runtime
9,5.0,,6.9,102,1,91
9,6.0,,7.1,134,1,105
9,5.0,,6.3,39,2,
9,5.0,,6.2,18,1,87
9,5.0,,7.6,16,1,104
9,5.0,,4.7,57,1,90
9,5.0,,7.6,9,1,73
10,3.0,,5.3,19,1,80
10,6.0,,5.2,27,1,
10,5.0,,3.2,20,1,
10,5.0,,7.2,6,1,89
10,6.0,,6.6,157,1,119
10,6.0,,2.9,35,1,90
10,6.0,5.0,2.8,35,1,77
10,5.0,,6.7,25,1,99
10,4.0,,7.6,37,1,
10,5.0,,6.7,11,1,95
10,5.0,,7.5,26,1,
10,5.0,,5.7,18,1,87
10,6.0,,5.4,30,1,80
10,8.0,,6.8,125,1,96
10,6.0,,5.9,13,1,
10,5.0,,5.0,7,1,84
10,5.0,,4.8,13,1,86
10,3.0,,3.7,18,1,90
10,5.0,,7.4,92,1,121
10,10.0,9.0,7.2,61,1,100
10,8.0,,6.3,7,2,103
10,5.0,3.0,6.4,104,1,100
10,6.0,,5.5,39,1,95
10,5.0,,7.2,98,1,102
10,3.0,,4.0,66,1,78
10,3.0,,5.8,11,1,80
10,5.0,,6.2,13,1,105
10,6.0,,6.4,25,1,103
10,6.0,,4.8,25,1,90
10,6.0,,4.6,11,1,78
10,6.0,,3.2,16,1,83
10,5.0,,6.6,14,1,90
10,6.0,9.0,2.4,20,1,79
10,5.0,,6.6,16,1,93
10,5.0,,7.1,78,1,100
10,13.0,,7.1,52,1,88
10,4.0,,6.5,13,1,100
10,5.0,2.0,7.3,27,1,96
10,5.0,,7.2,208,1,76
10,5.0,,6.8,19,1,98
10,6.0,,2.5,6,1,82
10,5.0,,7.6,37,1,89
10,3.0,,6.2,11,1,
10,8.0,8.0,6.1,105,2,103
10,6.0,,5.2,16,1,83
10,6.0,,4.7,7,1,89
10,6.0,,3.8,39,1,76
10,3.0,5.0,3.5,11,1,
10,3.0,,4.0,20,1,
10,5.0,,6.8,23,1,101
10,6.0,,6.1,16,1,81
10,6.0,,4.8,20,1,76
10,6.0,,1.8,158,1,90
10,6.0,,7.1,12,1,84
10,6.0,2.0,2.8,17,1,79
10,6.0,,6.2,39,1,78
10,5.0,,7.0,31,1,99
10,5.0,,6.2,13,1,99
10,8.0,,6.2,131,1,
10,5.0,,7.2,56,1,100
10,8.0,,6.6,7,1,107
10,5.0,,7.1,243,1,112
10,5.0,,6.9,18,1,101
10,5.0,,7.2,29,1,106
10,6.0,,4.5,13,1,83
10,5.0,,5.0,20,1,83
10,1.0,,6.3,100,1,105
10,6.0,2.0,3.9,53,1,80
10,5.0,,7.1,188,1,100
10,8.0,,6.2,69,1,84
10,10.0,,4.4,13,1,100
10,5.0,,7.1,67,1,118
10,8.0,,7.2,183,1,90
10,2.0,,6.6,18,1,96
10,8.0,8.0,7.6,"187,222",1,101
10,6.0,,7.8,43,1,92
10,3.0,,5.3,9,1,82
10,5.0,,6.1,12,1,82
11,5.0,,4.8,104,1,
11,6.0,,6.9,148,1,100
11,6.0,,4.7,12,1,82
11,5.0,,7.4,10,1,94
11,3.0,,4.2,61,1,75
11,5.0,,4.3,27,1,
11,6.0,,6.3,11,1,
11,6.0,,7.2,230,1,104
11,6.0,,4.4,26,1,
11,6.0,,4.9,18,1,108
11,5.0,,6.4,7,1,
11,6.0,,5.1,9,1,
11,5.0,,6.7,17,1,
11,5.0,,7.6,49,1,
11,6.0,,7.1,14,1,113
11,5.0,,5.3,7,1,
11,3.0,,3.9,7,1,
11,5.0,,6.1,12,1,84
11,5.0,,6.9,17,1,90
11,6.0,,4.2,33,1,
11,3.0,,4.4,27,1,
11,5.0,,7.6,90,1,
11,5.0,,8.4,75,1,90
11,6.0,,4.9,19,1,90
