year,genre,rating,users_rating,votes,languages,runtime
5.0,6.0,2.5,7.5,6.0,1.0,104.0
5.0,1.0,1.0,7.5,644.0,1.0,119.5
5.0,3.0,1.0,5.4,16.0,1.0,89.0
5.0,5.0,1.5,7.5,279.0,1.0,109.0
5.0,6.0,1.5,6.4,35.0,1.0,102.0
5.0,5.0,1.5,7.4,13.0,1.0,113.5
5.0,1.0,9.0,8.5,29.0,1.0,89.0
5.0,5.0,1.0,8.6,9.0,1.0,88.0
5.0,6.0,3.0,7.1,19.0,1.0,108.0
5.0,5.0,5.5,7.8,22.0,1.0,99.0
5.0,5.0,8.0,7.2,262.0,1.0,97.0
5.0,6.0,1.5,7.3,86.0,1.0,101.0
5.0,11.0,8.0,8.4,5.0,1.0,95.5
5.0,5.0,3.0,7.1,46.0,2.0,94.0
5.0,5.0,3.0,6.6,25.0,1.0,100.0
5.0,3.0,1.5,5.3,521.0,1.0,107.0
5.0,4.0,1.5,7.4,8.0,1.0,98.0
5.0,8.0,1.0,6.4,39.0,1.0,95.0
5.0,2.0,9.0,5.8,8.0,1.0,90.0
5.0,5.0,1.5,8.0,11.0,1.0,99.0
5.0,8.0,1.5,2.2,247.0,1.0,90.0
5.0,5.0,1.0,7.7,59.0,1.0,83.0
5.0,6.0,1.5,6.6,128.0,1.0,88.0
5.0,4.0,3.5,6.5,1049.0,1.0,135.5
5.0,5.0,1.0,7.4,1650.0,1.0,123.0
5.0,11.0,1.0,7.8,17.0,1.0,103.0
5.0,5.0,1.0,8.0,29.0,1.0,87.0
6.0,8.0,3.0,5.9,24.0,1.0,116.0
6.0,6.0,1.5,5.6,5.0,1.0,86.0
6.0,8.0,1.5,7.3,292.0,1.0,123.0
6.0,5.0,4.0,7.2,698.0,1.0,116.0
6.0,5.0,9.0,8.6,19.0,1.0,76.0
6.0,5.0,2.5,5.4,5.0,1.0,90.5
6.0,4.0,2.0,6.0,213.0,1.0,109.0
6.0,5.0,1.0,7.3,20.0,1.0,91.0
6.0,3.0,2.0,6.2,5.0,1.0,83.0
6.0,5.0,1.5,6.8,14.0,1.0,98.5
6.0,3.0,1.5,5.4,125.0,1.0,92.5
6.0,8.0,1.0,6.3,327.0,1.0,103.0
6.0,5.0,1.0,6.7,36.0,1.0,105.5
6.0,6.0,3.0,5.3,26.0,1.0,91.0
6.0,5.0,1.0,7.1,604.0,1.0,117.0
6.0,8.0,6.5,5.9,31.0,1.0,99.0
6.0,8.0,1.5,3.6,14.0,1.0,85.0
6.0,1.0,3.0,7.3,92.0,1.0,161.0
6.0,6.0,2.0,5.6,16.0,1.0,100.0
6.0,8.0,3.0,7.3,32.0,1.0,105.5
6.0,3.0,5.0,6.2,11.0,1.0,87.5
6.0,6.0,3.0,7.3,202.0,1.0,110.5
6.0,6.0,2.0,4.8,5.0,1.0,95.0
6.0,5.0,2.0,7.8,12.0,1.0,83.0
6.0,1.0,5.5,7.7,26.0,1.0,95.5
6.0,6.0,3.0,5.3,47.0,1.0,95.0
6.0,5.0,3.0,6.2,43.0,1.0,96.0
6.0,5.0,2.0,6.5,19.0,1.0,103.0
6.0,4.0,2.5,7.7,71.0,1.0,94.0
6.0,5.0,2.5,6.1,56.0,1.0,80.0
6.0,3.0,2.0,5.0,9.0,1.0,81.0
6.0,5.0,5.5,6.7,15.0,1.0,106.0
6.0,5.0,1.5,6.2,8.0,1.0,80.0
6.0,4.0,8.5,7.4,269.0,1.0,87.5
6.0,6.0,2.0,7.0,392.0,1.0,107.0
6.0,7.0,4.0,7.1,2714.0,1.0,99.0
6.0,8.0,3.0,6.1,14.0,1.0,90.0
6.0,4.0,8.0,6.1,11.0,1.0,85.0
6.0,4.0,5.0,7.2,21.0,1.0,98.0
6.0,6.0,1.0,6.8,628.0,1.0,127.0
6.0,8.0,1.5,6.7,10.0,1.0,97.0
6.0,6.0,2.0,6.0,66.0,1.0,126.0
6.0,5.0,1.0,7.8,2135.0,1.0,108.5
6.0,5.0,2.5,7.1,89.0,1.0,119.0
6.0,6.0,3.0,6.8,26.0,1.0,109.0
6.0,5.0,3.0,7.4,45.0,1.0,95.0
6.0,10.0,4.0,5.8,146.0,2.0,97.0
6.0,11.0,5.0,8.9,60.0,1.0,91.5
6.0,3.0,9.0,6.0,90.0,1.0,95.0
6.0,3.0,5.0,5.8,22.0,1.0,100.0
7.0,5.0,2.0,8.6,66.0,1.0,110.0
7.0,8.0,2.0,6.9,35.0,1.0,109.0
7.0,5.0,3.0,7.3,32.0,1.0,106.5
7.0,5.0,2.5,6.6,29.0,1.0,90.0
7.0,5.0,1.0,7.1,77.0,1.0,97.0
7.0,4.0,5.5,6.0,25.0,1.0,102.0
7.0,6.0,3.0,7.0,42.0,1.0,93.0
7.0,3.0,5.5,6.8,13.0,1.0,90.0
7.0,5.0,2.5,7.2,231.0,1.0,102.0
7.0,8.0,5.0,7.0,5.0,1.0,93.0
7.0,6.0,1.5,5.6,111.0,1.0,101.0
7.0,8.0,2.0,7.0,839.0,1.0,106.0
7.0,3.0,1.0,6.1,7.0,1.0,90.0
7.0,8.0,7.0,4.2,143.0,2.0,91.0
7.0,4.0,5.5,6.1,17.0,1.0,99.5
7.0,1.0,1.0,8.1,59.0,1.0,102.0
7.0,8.0,7.0,6.4,4710.0,4.0,137.0
7.0,6.0,2.5,6.0,30.0,1.0,94.0
7.0,8.0,3.0,1.7,10.0,1.0,57.0
7.0,6.0,8.0,7.4,16.0,1.0,90.0
7.0,3.0,2.0,6.5,52.0,1.0,95.0
7.0,5.0,2.5,7.3,27.0,1.0,99.5
7.0,6.0,5.0,6.9,275.0,1.0,100.5
7.0,1.0,2.0,6.7,160.0,1.0,85.5
7.0,5.0,5.0,7.2,12.0,1.0,86.5
7.0,3.0,1.0,5.3,48.0,1.0,94.5
7.0,8.0,7.0,6.2,722.0,1.0,111.0
7.0,5.0,2.5,6.4,26.0,1.0,90.0
